gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,avg_charge_per_month,InternetService_Fiber_optic,InternetService_No,Contract_One_year,Contract_Two_year,PaymentMethod_Credit_card_automatic,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,tenure_group_1_2_thn,tenure_group_2_4_thn,tenure_group_4_5_thn,tenure_group_5_thn_plus,Churn
1,0,0,0,-1.2413308272103278,1,0,0,0,0,0,0,0,0,0.19316450620639225,-0.9447142198219461,0.17960180330223569,1,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,-0.7110781194995532,1,1,1,0,1,0,0,0,1,0.6473551391691115,-0.434061635937543,0.7262297598239623,1,0,0,0,1,0,0,1,0,0,0,0
1,0,1,1,1.4099327113435454,1,1,0,1,0,0,0,1,1,0.8203801422025286,1.7942944843401551,1.0005676885457386,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,-1.1189648177386107,1,0,0,1,0,1,0,1,1,0.023466907077463767,-0.8571700099077731,0.10105441504699149,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,-0.26240275143659014,1,0,0,0,0,0,0,0,1,-1.4838470616559571,-0.7818652891808981,-1.5002695957917815,0,1,0,0,0,1,0,0,1,0,0,0
0,0,0,0,-1.1597534875625164,1,1,0,0,0,1,1,0,1,-0.01646193977640131,-0.8953607320038657,-0.05570893788436018,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,1,-0.38476876090830736,1,0,0,0,0,0,0,0,0,-1.5071388889873785,-0.8190452096564956,-1.5371723366225072,0,1,0,1,1,0,0,1,0,0,0,0
1,1,0,0,-1.2413308272103278,1,0,0,1,0,0,0,0,1,0.32626066238594376,-0.9338590893757609,0.5889099235352586,1,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0.7573139941610534,1,0,0,0,0,0,0,0,0,-1.5237759085098224,-0.5636420088953434,-1.4970440895408381,0,1,1,0,0,1,0,0,0,1,0,0
1,0,1,1,-0.1400367419648729,1,1,0,1,1,0,1,1,0,0.505940473228338,-0.034509334514499765,0.3757702769529364,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,-1.1597534875625164,1,1,0,0,0,0,0,1,1,0.6906113899274662,-0.8576094888732058,0.6560231983103086,1,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,-1.0373874780907992,1,1,0,0,0,0,0,1,1,0.7288765348290869,-0.7339181340522022,0.7851600286093918,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,-0.8742327987951762,1,0,0,0,0,0,0,0,0,-1.4905018694649346,-0.9092702412598073,-1.485048446449292,0,1,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0.6349479846893362,1,1,0,0,0,0,0,0,0,-1.3424323957151836,-0.47743820982574003,-1.3206767882097807,0,1,1,0,0,0,0,0,1,0,0,0
1,0,0,0,-1.2821194970342338,1,1,0,1,0,0,0,0,0,-0.3525297341297692,-0.9826852024353221,-0.35233304121112574,0,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1.613876060463074,1,1,1,1,1,1,1,1,0,0.825371248059262,1.7794400953085334,0.7660834452150724,0,0,0,1,1,0,0,0,0,0,1,0
0,0,1,1,1.5730873906391682,1,0,1,0,1,0,1,1,0,0.421091673663874,1.4432606607008704,0.4501087950055336,0,0,0,1,1,0,0,0,0,0,1,0
0,1,1,0,1.4915100509913568,1,1,0,1,0,1,1,1,0,1.3477736610640019,2.0693423948561445,1.2098007779848472,1,0,0,1,1,0,0,0,0,0,1,0
1,0,0,0,-1.2821194970342338,1,0,0,0,0,0,0,0,0,-1.4938292733694234,-0.9977593309496602,-1.4891159176477797,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,-0.7110781194995532,1,0,1,0,1,1,1,1,0,1.337791449350535,-0.3109635777198733,1.3451080565973477,1,0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,1.5322987208152625,0,0,1,1,1,1,0,0,1,-0.6752879128651815,0.33744368787937645,-0.7040444780128616,0,0,0,1,0,0,0,0,0,0,1,0
0,0,1,1,-1.1189648177386107,1,0,0,1,0,0,0,1,1,0.6223996098854456,-0.8289115124304574,0.5272651378159533,1,0,0,0,0,1,0,0,0,0,0,1
0,0,1,1,-0.017670732493155674,1,1,1,0,0,0,1,0,0,0.8220438441547729,0.26873115163399036,0.8534273676332192,1,0,0,0,0,1,0,0,1,0,0,0
0,1,1,1,0.5533706450415247,1,1,1,1,0,1,1,1,1,1.5074890484794634,1.1785844537690906,1.4303655715200279,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,-0.915021468619082,1,1,0,0,0,0,0,0,0,-1.3041672508135624,-0.8959760025554714,-1.3181013508135777,0,1,0,1,0,0,0,0,0,0,0,0
1,0,1,1,-0.18082541178877864,1,1,0,1,0,0,0,1,0,-0.01646193977640131,-0.2145418927039621,-0.018838064705474628,0,0,0,0,0,1,0,0,1,0,0,0
1,1,1,0,0.10469527697856156,1,1,0,0,1,0,1,1,1,1.1947130814575173,0.5041600334162311,1.1030899334520456,1,0,0,0,0,1,0,0,1,0,0,0
1,1,1,0,0.0639066071546558,1,0,0,0,1,0,1,0,1,0.6756380723572665,0.2567114019294087,0.6499795918672393,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,-0.09924807214096716,1,0,0,0,0,0,0,0,0,-1.517121100700845,-0.7415870419990008,-1.4859121563827982,0,1,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0.512581975217619,1,0,0,0,0,1,1,1,1,1.0083784628061454,0.8769700397927009,1.0045150917718666,1,0,0,1,1,0,0,0,1,0,0,0
1,0,1,1,-0.915021468619082,1,1,0,0,0,0,0,0,1,-1.3474235015719167,-0.8949652009349763,-1.3104786084934483,0,1,0,0,0,0,1,0,0,0,0,0
0,0,1,0,-1.1189648177386107,1,1,0,0,1,1,1,0,0,0.10166089883295057,-0.8525994286672742,0.16999051950729047,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,-1.1189648177386107,0,0,0,1,0,0,1,1,1,-0.4623340629778991,-0.8720903207842098,-0.12398219518638671,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,-0.8334441289712705,1,0,0,0,0,0,0,0,0,-1.4888381675126903,-0.8919767439700347,-1.4319453502468111,0,1,1,0,0,1,0,0,0,0,0,0
1,0,0,0,-0.05845940231706142,1,0,0,0,0,0,0,0,0,-1.4805196577514683,-0.7388622724133188,-1.5007691983335312,0,1,0,1,0,0,0,0,1,0,0,0
0,1,0,0,-1.2821194970342338,1,0,0,0,0,0,1,0,1,0.4759938380879392,-0.9717421761960506,0.4729116708376409,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,-1.2821194970342338,1,0,0,0,0,0,0,0,0,0.19981931401536993,-0.975389851609141,0.19783010015471886,1,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,-0.017670732493155674,1,0,0,0,0,0,1,1,0,0.8702912007698604,0.2554149389813827,0.8220456974837743,1,0,0,0,0,1,0,0,1,0,0,0
1,0,1,1,-0.7110781194995532,1,0,0,0,0,0,0,0,1,-1.4938292733694234,-0.8799569942654533,-1.5155193294522853,0,1,0,0,0,1,0,1,0,0,0,1
1,0,0,0,-0.5887121100278361,1,0,0,0,0,1,0,0,1,0.3661895092398093,-0.4031223167710884,0.37615439815097695,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.5533706450415247,1,1,0,1,1,0,1,0,1,0.998396251092679,0.9372445799017811,1.0347106617753268,1,0,1,0,1,0,0,0,1,0,0,0
0,0,0,0,-1.2821194970342338,1,0,0,0,0,0,0,0,0,-0.6902612304353811,-0.9871459139344629,-0.6887279740342173,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0.3902159657459017,1,0,0,0,0,0,0,0,0,-1.4821833597037126,-0.6242461582284982,-1.4655217152283324,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,-0.4255574307322131,1,1,1,0,0,0,1,1,1,1.193049379505273,-0.08584047767702686,1.004093279943875,1,0,0,0,0,1,0,1,0,0,0,1
0,0,1,1,-0.8742327987951762,0,0,1,0,0,0,1,1,0,-0.47730738054809874,-0.7580894771509948,-0.44859652624200574,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,-1.2413308272103278,1,1,0,0,1,0,0,0,1,0.4543657127087619,-0.9408248309778675,0.3262567370699385,1,0,0,0,0,1,0,0,0,0,0,1
